cranberry jell-o|gelatin;cranberry
Pepsi&reg; Holiday Spice|soda;cinnamon
Abita&reg; Amber lager|beer;lager;amber
Dry Orange Curacao liqueur|liqueur;curacao;orange
San Pellegrino&reg; chinotto soda|soda;citrus
Sauza&reg; Tres Generaciones reposado tequila|tequila;rested
Bacardi&reg; Razz rum|rum;flavoured;raspberry
shochu|shochu
Forbidden Fruit&reg; liqueur|liqueur;grapefruit-orange
Monin&reg; apricot-fruit syrup|syrup;apricot
Nesquik&reg; chocolate powder|powder;chocolate
salt|salt
Polar&reg; Ice vodka|vodka
Polmos|polmos
Perrier&reg; lime soda water|soda;lime
Chaser&reg; 5-Hour energy drink|energy
J & B&reg; Scotch whisky|whiskey;scotch
guava syrup|syrup;guava
Havana Club&reg; silver rum|rum;light
Stolichnaya&reg; raspberry vodka|vodka;flavoured;raspberry
Maker's Mark&reg; bourbon whiskey|whiskey;bourbon
Santa Cruz&reg; rum|rum
Irish whiskey|whiskey;irish
Smirnoff&reg; apple vodka|vodka;flavoured;apple
Keglevich&reg; fresh mint vodka|vodka;flavoured;mint
brown sugar|sugar;brown
DeKuyper&reg; Apple Barrel schnapps|schnapps;apple
cherry cider soda|soda;cider-cherry
Wild Spirit&reg; chocolate raspberry liqueur|liqueur;chocolade-raspberry
Muscatel wine|wine
Bacardi&reg; lemon rum|rum;flavoured;lemon
Phillips&reg; Butter Ripple Schnapps|schnapps;butterscotch
Marie Brizard&reg; Lime Citron liqueur|liqueur;lime
Pravda&reg; vodka|vodka
Kool-Aid&reg;|powder;fruit
OP&reg; flavored vodka|vodka;flavoured;citrus
Droste&reg; chocolate liqueur|liqueur;chocolate
Nehi&reg; grape soda|soda;grape
Admiral Nelson&reg; spiced rum|rum;spiced
Alize&reg; Red Passion liqueur|liqueur;passion fruit
long island iced tea mix|mix;long island ice tea
ginger wine|wine;ginger
red wine|wine;red
Olorosa sherry|wine;sherry
Das Komet&reg; vanilla liqueur|liqueur;vanilla
Devil Springs&reg; vodka|vodka
Old Charter&reg; bourbon whiskey|whiskey;bourbon
Fris&reg; vodka|vodka
lemon shochu|shochu;lemon
blackcurrant cordial|syrup;blackcurrant
Loitens&reg; aquavit|brandy;akvavit
Fernet Branca&reg; bitters|bitters;herbal
Hiram Walker&reg; creme de noyaux liqueur|liqueur;almond
Mountain Dew&reg; Code Red soda|soda;cherry
lime vodka|vodka;flavoured;lime
food coloring|other;food coloring
Kern's&reg; strawberry nectar|juice;strawberry
Minute Maid&reg; orange juice|juice;orange
mandarins|fruit;mandarin
Famous Grouse&reg; Scotch whisky|whiskey;scotch
McGuinness&reg; Red Tassel vodka|vodka
caster sugar|sugar;caster
Mr & Mrs T's&reg; pina colada mix|mix;pina colada
fudge ice cream|ice cream;fudge
V8 Splash&reg; fruit juice|juice;fruit
Woodpecker&reg; cider|cider
Ben & Jerry's&reg; ice cream|ice cream
peppermint syrup|syrup;peppermint
lychee juice|juice;lychee
Schweppes&reg; raspberry ginger ale|ginger ale;raspberry
Full Throttle&reg; energy drink|energy
vanilla syrup|syrup;vanilla
Marie Brizard&reg; watermelon liqueur|liqueur;watermelon
birch beer|beer;birch
Lionshead&reg; lager|beer;lager
Goya&reg; peach nectar|juice;peach
Tuaca&reg; citrus liqueur|liqueur;citrus
Jim Beam's&reg; Choice bourbon whiskey|whiskey;bourbon
Scotch whisky|whiskey;scotch
Montezuma&reg; gold tequila|tequila;gold
Pineau des Charentes&reg; red wine|wine;red
marinade|marinade
Capri Sun&reg; Wild Cherry juice|juice;wild cherry
Christian Brothers&reg; Frost White brandy|brandy
Mario&reg; olive juice|juice;olive
Finest Call&reg; margarita mix|mix;margarita
DeKuyper&reg; peppermint schnapps|schnapps;pepermint
apricots|fruit;apricot
Marie Brizard&reg; creme de mure|liqueur;wild blackberry
Kerns&reg; apricot nectar|juice;apricot
marsala white wine|wine;white
Tarantula Azul Tequila|tequila;flavoured;blue agave
Mohawk&reg; Extra Sharp ginger brandy
orange liqueur|liqueur;orange
Mount Gay&reg; Barbados rum|rum;gold
mint chocolate ice cream|ice cream;cocolate-mint
UV&reg; orange vodka|vodka;flavoured;orange
Havana Club&reg; 7 Years rum|rum;premium
rainbow sherbert|sherbet;rainbow
lychee wine|wine;lychee
Milagro&reg; blanco tequila|tequila;white
guava juice|juice;guava
Paul Masson&reg; chocolate hazelnut liqueur|liqueur;chocolate;hazelnut
Kahlua&reg; French Vanilla liqueur|liqueur;vanilla
Nestea&reg; diet iced tea|ice tea;lemon
Blue Bell&reg; vanilla ice cream|ice cream;vanilla
celery salt|salt;celery
Starbucks&reg; Mocha Frappuccino|coffee;frapupuchino;mocha
Stefanoffs&reg; vodka|vodka
hot cocoa|hot chocolate
dark chocolate|chocolate;dark
Three Olives&reg; cherry vodka|vodka;flavoured;cherry
Fudge|cookie;fudge
Clearly Canadian&reg; sparkling water|soda
Gatorade&reg; Fierce Melon energy drink|energy
Finest Call&reg; triple sec|liqueur;orange;triple sec
Mudslide mix|mix;mudslide
Fruitopia&reg; fruit juice|juice;fruit
silver tequila|tequila;white
strawberry juice|juice;strawberry
gomme syrup|syrup;gum
Harvey's Bristol Creme|wine;sherry
anis liqueur|liqueur;anise
Herradura&reg; blanco tequila|tequila;white
Three Olives&reg; vanilla vodka|vodka;flavoured;vanilla
sparkling Burgundy wine|wine;sparkling
Tequila Rose&reg; strawberry cream liqueur|liqueur;strawberry;cream
Archers&reg; cranberry schnapps|schnapps;cranberry
Gatorade&reg; Cool Blue Raspberry energy drink|energy;raspberry
oude genever gin|gin;jenever
Hpnotiq&reg; liqueur|liqueur;tropical
strawberry vodka|vodka;flavoured;strawberry
cantaloupe melon|fruit;melon;cantaloupe
Cutty Sark&reg; Scotch whisky|whiskey;scotch
Amp&reg; energy drink|energy
pineapple juice|juice;pineapple
Bacardi&reg; anejo rum|rum;gold
Blue Tattoo&reg; blueberry schnapps|schnapps;blueberry
Bartons&reg; vodka|vodka
cheese|cheese
licorice liqueur|liqueur;herbal
Schweppes&reg; bitter lemon soda|soda;bitter lemon
chocolate liqueur|liqueur;chocolate
Svedka&reg; clementine vodka|vodka;flavoured;citrus
pear puree|puree;pear
Fever Tree&reg; tonic water|soda;tonic
Roncoco&reg; coconut liqueur|liqueur;coconut
soy sauce|sauce;soy
Partida&reg; agave nectar|juice;agave
apples|fruit;apple
orange rum|rum;flavoured;orange
blood orange|fruit;blood orange
Bacardi&reg; 151 rum|rum;overproof
raspberry vodka|vodka;flavoured;raspberry
Nassau Royale&reg; rum|rum;flavoured;vanilla
Irish Mist&reg; herbal liqueur|liqueur;herbal
Red Cordial|syrup;red
McGuinness&reg; creme de banane|liqueur;banana
Oreo Chocolate Cookie|cookie;chocolate;oreo
sugar syrup|syrup;sugar
Canton&reg; ginger liqueur|liqueur;ginger
Popov&reg; vodka|vodka
Havana Club&reg; dark rum|rum;dark
Mayfield&reg; Rocky Road ice cream|ice cream;chocolate
lemon sherbet|sherbet;lemon
Eagle Brand&reg; condensed milk|milk;condensed
Absente&reg; herbal liqueur|liqueur;herbal
Allen's&reg; coffee brandy|liqueur;coffee
Pepsi&reg; Slice soda|soda;lime
chocolate powder|powder;chocolate
Captain Morgan&reg; Tattoo orange rum|rum;flavoured;orange
Margaritaville&reg; gold tequila|tequila;gold
Gatorade&reg; Citrus Cooler energy drink|energy;citrus
Tennessee whiskey|whiskey;bourbon
mandarin|fruit;mandarin
Coconut brandy|brandy;flavoured;coconut
lemon schnapps|schnapps;lemon
Appleton Estate&reg; V/X Jamaican rum|rum;spiced
sweet sherry|wine;sherry;sweet
Schweppes&reg; citrus soda|soda;citrus
McHenry&reg; lager|beer;lager
Italian grapefruit soda|soda;grapefruit
Blanks&reg; amaretto|liqueur;non-alcoholic
Bacardi&reg; white rum|rum;light
juice|juice
Potter's&reg; vodka|vodka
Fresh Samantha&reg; mango juice|juice;mango
Bols&reg; orange liqueur|liqueur;orange
Hiram Walker&reg; coconut rum|rum;flavoured;coconut
Trader Joe's&reg; Spicy Cider|cider;spicy
Grey Goose&reg; vodka|vodka
Hi-C&reg; orange soda|soda;orange
Gatorade&reg; Glacier Freeze energy drink|energy
Old Tom&reg; gin|gin
Stock 84&reg; brandy|brandy
White Lightning&reg; cider|cider
Caguamas Tecate&reg; beer|beer;dark
Cazadores&reg; tequila|tequila;white
Glayva&reg; Scotch liqueur|liqueur;scotch
Ryan's&reg; Irish cream|liqueur;cream;irish
hard lemonade|lemonade;hard
strawberry mix|mix;strawberry
berry punch|punch;berry
onions|vegetable;onion
aged rum|rum;gold
Sprite Remix|soda;fruit
cayenne peppers|pepper;cayenne
tamarinds|fruit;tamarind
tangerine schnapps|schnapps;citrus
Ultimat&reg; chocolate vanilla vodka
lemon-lime soda|soda;lime
dry gin|gin;dry
Stoli&reg; Citros vodka|vodka;flavoured;citrus
Nacional&reg; silver tequila|tequila;white
Bacardi&reg; vanilla rum|rum;flavoured;vanilla
Skyy&reg; spiced vodka|vodka;spiced
tonic water|soda;tonic
Mountain Dew&reg; Livewire|soda;orange
Captain Morgan&reg; Silver spiced rum|rum;spiced
strawberry brandy|brandy;flavoured;strawberry
ginger|vegetable;ginger
blueberry brandy|brandy;flavoured;blueberry
Agavero agave liqueur|tequila;flavoured
lemon Italian ice|italian ice;lemon
green apple jell-o|jello;apple
cranberry ginger ale|ginger ale;cranberry
Senator's Club&reg; whiskey|whiskey
Hamspburg&reg; absinthe|liqueur;herbal;absinthe
Woodchuck&reg; cider|cider
Mountain Dew&reg; lime soda|soda;lime
Gatorade&reg; Fierce Grape energy drink|energy;grape
guava puree|puree;guava
hot chili pepper sauce|sauce;chili pepper
chili pepper|pepper;chili
cossack vodka|vodka
Tanqueray&reg; Rangpur gin|gin
apple sauce|sauce;apple
WKD&reg; Original Vodka Blue|alcopop;fruit
cream cheese|cheese;cream
Otard&reg; cognac|cognac
Sunny Delight&reg; Florida Style orange juice|juice;orange
Malibu&reg; coconut rum|rum;flavoured;coconut
chili powder|powder;chili
blackberry juice|juice;blackberry
green apple soda|soda;apple
Vess&reg; cream soda|soda;cream
root beer schnapps|schnapps;root bear
lemonade|lemonade
soymilk|milk;soy
Cashew|fruit;cashew
Ovaltine&reg; cocoa|cereal;malt;chocolate
figs|fig
raspberry cordial|syrup;raspberry
fruit|fruit
Nestea&reg; iced tea|ice tea
Dr. Pepper&reg; Cherry Vanilla soda|soda;cherry-vanilla
Earl Grey&reg; tea|tea;black
Chateau Monet&reg; Framboise raspberry liqueur|liqueur;raspberry
coffee|coffee
Beck's&reg; beer|beer;lager;pale
Silent Sam&reg; vodka|vodka
cinnamon schnapps|schnapps;cinnamon
Minute Maid&reg; cherry punch|punch;cherry
ginger-infused vodka|vodka;flavoured;ginger-infused
Smirnoff&reg; cranberry vodka|vodka;flavoured;cranberry
Dr. McGillicuddy's&reg; cherry schnapps|schnapps;cherry
Captain Morgan&reg; Original spiced rum|rum;spiced
caramel liqueur|liqueur;caramel
Arandas&reg; white tequila|tequila;white
blueberry juice|juice;blueberry
pears|fruit;pear
Cinzano&reg; Orancio French vermouth|vermouth;dry
cardamom|spice;cardamom
Stroh&reg; 60 rum|rum;overproof;spiced
Bols&reg; peach liqueur|liqueur;peach
Monin&reg; cinnamon syrup|syrup;cinnamon
Smirnoff&reg; Orange Twist vodka|vodka;flavoured;orange
WKD&reg; Original Vodka Red|alcopop;cherry
DeKuyper&reg; amaretto almond liqueur|liqueur;almond
raspberry cider|cider;raspberry
Dixie&reg; Blackened Voodoo lager|beer;malt
Whaler's&reg; Pineapple Paradise rum|rum;flavoured;pineapple
Skyy&reg; vanilla vodka|vodka;flavoured;vanilla
Mexican beer|beer
DeKuyper&reg; Cheri-Beri Pucker schnapps|schnapps;cherry
blueberry liqueur|liqueur;blueberry
Countrytime&reg; pink lemonade|lemonade;pink
Minute Maid&reg; limeade soda|soda;lime
Ballatore&reg; Rosso Spumante|wine;rose;sparkling
Mr & Mrs T&reg; strawberry daiquiri mix|mix;daiquri;strawberry
Dr. McGillicuddy's&reg; Fireball Canadian whisky|whiskey;canadian
bell peppers|pepper;bell
wild strawberry liqueur|liqueur;wild;strawberry
Hellmann's&reg; mayonnaise|mayonnaise
Schweppes&reg; club soda|soda;club
island pineapple jell-o|jello;pineapple
Kahlua&reg; coffee liqueur|liqueur;coffee
Strega&reg; herbal liqueur|liqueur;herbal
DeKuyper&reg; Razzmatazz liqueur|liqueur;raspberry
peach papaya juice|juice;peach-papaya
Shiso|shiso
Andes&reg; chocolate mint|candy;chocolate-mint
Pepsi&reg; cola|cola
single cream|cream;single
Purple Endive|vegetable;endive;purple
lime juice|juice;lime
Ocean Spray&reg; Cranberry Juice Cocktail|juice;cranberry
apricot schnapps|schnapps;apricot
Chai tea latte concentrate|other;concentrate;chai
Mickey's&reg; malt liquor|beer;malt
Jones&reg; green apple soda|soda;apple
sauce|sauce
Mott's&reg; clamato juice|juice;clamato
tamarind|fruit;tamarind
Praline New Orleans-style pecan liqueur|liqueur;pecan
pineapple-starfruit juice|juice;pineapple;starfruit
Sauza&reg; Conmemorativo tequila|tequila;aged
Black Haus&reg; blackberry schnapps|schnapps;blackberry
cream of coconut|cream;coconut
white wine|wine;white
Mello Yello&reg; citrus soda|soda;citrus
Sebor&reg; Absinth absinthe|liqueur;herbal;absinthe
whiskey|whiskey
Bacardi&reg; light rum|rum;light
avocados|fruit;avocado
Aslanov&reg; vodka|vodka
Minute Maid&reg; grape punch|punch;grape
Highland Stag&reg; Scotch whisky|whiskey;scotch
cider|cider
coconuts|fruit;coconut
wormwood extract|extract;wormwood
Heaven Hill&reg; bourbon whiskey|whiskey;bourbon
pear soda|soda;pear
clove|spice;clove
DeKuyper&reg; Grape Pucker schnapps|schnapps;grape
wine|wine
Oh Canada&reg; maple liqueur|liqueur;maple
Dr. Mcgillicuddy's&reg; Vanilla Schnapps|schnapps;vanila
triple sec|liqueur;orange;triple sec
Baitz&reg; triple sec|liqueur;orange;triple sec
Roberto Cavalli&reg; Vodka|vodka
Wild Irish Rose&reg; wine|wine;rose
Turkey Hill&reg; iced tea|ice tea;lemon
chocolate sauce|sauce;chocolate
Bong Water&reg; energy drink|energy
blood-orange juice|juice;blood-orange
watermelon juice|juice;watermelon
blended whiskey|whiskey
Rumba&reg; energy juice|energy;juice;orange
DeKuyper&reg; Sour Peach Pucker schnapps|schnapps;peach
peach iced tea|ice tea;peach
DeKuyper&reg; dark creme de cacao|liqueur;chocolate
coconut|fruit;coconut
Leinenkugel Honey Weiss|beer
Hiram Walker&reg; peppermint schnapps|schnapps;peppermint
tangerine juice|juice;tangerine
Soho&reg; lychee liqueur|liqueur;lychee
Frank's&reg; Original red hot sauce|sauce;hot
Cocaine&reg; energy drink|energy
Cherry Marnier&reg; liqueur|liqueur;cherry
Muscovado sugar|sugar;muscovado
Luxardo&reg; white sambuca|liqueur;sambuca;white
The Perfect Puree of Napa Valley&reg; Scarlet Orange concentrate|other;concentrate;orange
Foster's&reg; lager|beer;lager;pale
Jose Cuervo&reg; Citrico Tequila|tequila;flavoured;citrus
Crystal Light&reg; strawberry-kiwi lemonade mix
Ciroc&reg; vodka|vodka
7-Up&reg; Diet soda|soda
salami sausage|sausage;salami
Aftershock&reg; Hot & Cool cinnamon schnapps|schnapps;cinnamon
El Tesoro&reg; Reposado tequila|tequila;rested
Players Extreme&reg; caramel-infused vodka|vodka;flavoured;caramel
Hiram Walker&reg; apricot brandy|brandy;flavoured;apricot
melons|fruit;melon
Parsley|herb;parsley
mango schnapps|schnapps;melon
cannabis|other;cannabis
Schweppes&reg; Indian tonic water|soda;tonic
black cherry cola|cola;black cherry
pineapple sherbet|sherbet;pineapple
black cherry ice cream|ice cream;black cherry
Angostura&reg; Bloody Mary seasoning|mix;bloody mary
citrus rum|rum;flavoured;citrus
Sierra Mist&reg; soda|soda;lime
Kool-Aid&reg; Strawberry mix|powder;strawberry
Sir Francis Drake&reg; spiced rum|rum;spiced
Gatorade&reg; fruit punch|punch;fruit
Cruzan&reg; coconut rum|rum;flavoured;coconut
dry ginger ale|ginger ale;dry
Horchata|horchata
tomato ketchup|tomato ketchup
Bundaberg&reg; dark rum|rum;dark
Perrier&reg; soda water|soda
brown sugar syrup|syrup;brown sugar
citrus juice|juice;citrus
Absolut&reg; Raspberri vodka|vodka;flavoured;raspberry
pickle juice|juice;pickle
Minute Maid&reg; pink lemonade|lemonade;pink
Bailey's&reg; Mint Chocolate Irish cream liqueur|liqueur;cream;irish
Bacardi&reg; Grand Melon rum|rum;flavoured;watermelon
Budweiser&reg; lager|beer;lager
sangria|wine;red;sangria
Jeremiah Weed&reg; bourbon whiskey|whiskey;bourbon
Kronik&reg; energy drink|energy
Kool-Aid&reg; Black Cherry mix|powder;black cherry
Tampico&reg; mango punch|punch;mango
coriander|spice;coriander
Skittles|candy;flavoured sugar shells
Hershey's&reg; caramel syrup|syrup;caramel
Daily's&reg; sweet and sour mix|mix;sweet and sour
absinthe herbal liqueur|liqueur;herbal;absinthe
Minute Maid&reg; Strawberry Passion juice|juice;strawberry
raspberry syrup|syrup;raspberry
aquavit|brandy;akvavit
Ron Barcelo&reg; Imperial premium blend rum|rum;gold
grapefruit schnapps|schnapps;grapefruit
liqueur|liqueur
Dr. Brown's&reg; Cel-Ray soda|soda;celery
Battery&reg; energy drink|energy
Skyy&reg; Blue vodka|vodka
Berentzen's&reg; apple liqueur|liqueur;apple
fig|fig
Rose's&reg; triple sec|liqueur;orange;triple sec
orange flower water|water;orange flower
light beer|beer;light
bonded bourbon whiskey|whiskey;bourbon
strawberry yogurt|yogurt;strawberry
pepperd|peppered
Stella Artois&reg; lager|beer;lager
Seagram's&reg; VO Canadian whisky|whiskey;canadian
red Greek wine|wine;red
rosso vermouth|vermouth;sweet
Dubonnet&reg; French vermouth|vermouth
Finlandia&reg; cranberry vodka|vodka;flavoured;cranberry
lemon grass|spice;lemongrass
grape|fruit;grape
claret|wine;red
pistachio ice cream|ice cream;pistachio
coconut liqueur|liqueur;coconut
Patron&reg; Citronge liqueur|liqueur;orange
Zinfandel&reg; white wine|wine;white
bar lime mix|mix;bar lime
Cereal|cereal
Midori&reg; melon liqueur|liqueur;melon
Grey Goose&reg; vanilla vodka|vodka;flavoured;vanilla
clamato juice|juice;tomato
squid|squid
orange bitters|bitters;orange
tapioca|spice;tapioca
cherry|fruit;cherry
evaporated milk|milk;evaporated
pepperoncini|pepper;tuscan
DeKuyper&reg; Cactus Juice schnapps|schnapps;cactus juice
Hawaiian Punch&reg; Blue Berry Typhoon|punch;fruit;berry
Kazkar Feni&reg; cashew apple liqueur|liqueur;apple
Chartreuse&reg; herbal liqueur|liqueur;herbal
Canadian beer|beer
energy soda|energy
Rich & Rare&reg; Canadian whisky|whiskey;canadian
Celtic Crossing&reg; honey liqueur|liqueur;honey
raspberry soda|soda;raspberry
Baltika&reg; beer|beer
yoghurt|yogurt
cayenne pepper|pepper;cayenne
Bols&reg; Green Curacao liqueur|liqueur;curacao;green
grappa brandy|brandy
Tapatio&reg; hot sauce|sauce;hot
paprika|pepper
WKD&reg; Silver vodka|alcopop;exotic fruit
Safari&reg; liqueur|liqueur;exotic fruit
creme de griotte|liqueur;cherry
kiwi|fruit;kiwi
cherry soda|soda;cherry
Patron&reg; silver tequila|tequila;white
Slush Puppie&reg;|slush
DeKuyper&reg; Island Blue Pucker schnapps
Monin&reg; gingerbread syrup|syrup;gingerbread
Wild Turkey&reg; bourbon whiskey|whiskey;bourbon
Damiana&reg; herbal liqueur|liqueur;herbal
Sour Puss&reg; apple liqueur|liqueur;apple
Absinth&reg; King of Spirits Gold liqueur|liqueur;herbal;absinthe
Bacardi&reg; Coco rum|rum;flavoured;coconut
Carling&reg; lager|beer;lager
Merlot red wine|wine;red
persimmon juice|juice;persimmon
Martinique rum|rum
Sunny Delight&reg; orange juice|juice;orange
Kerns&reg; pear nectar|juice;peach
Ponche Caballero&reg; Italian liqueur|liqueur;orange
marshmallows|cookie;marshmellow
almond liqueur|liqueur;almond
Military Special&reg; white rum|rum;light
raspberry puree|puree;raspberry
Juicy Juice&reg; Tropical juice|juice;tropical
French Kiss&reg; vanilla liqueur|liqueur;vanilla
maraschino cherries|fruit;cherry;maraschino
white pepper|pepper;white
Aperol&reg; orange liqueur|liqueur;orange
Goldenbarr&reg; chocolate vodka|vodka;flavoured;chocolate
Appleton Estate&reg; white rum|rum;light
bitter|bitters
Schweppes&reg; lemon soda|soda;lemon
Martini & Rossi&reg; bianco vermouth|vermouth;sweet
brown creme de cacao|liqueur;chocolate
Smirnoff&reg; Black Cherry Twist vodka|vodka;flavoured;black cherry
Coca-Cola&reg; Diet Coke|cola;diet
orange-banana fruit punch|punch;fruit
Jacquin's&reg; peach schnapps|schnapps;peach
Gibson's&reg; Finest Canadian whisky|whiskey;canadian
Cruzan&reg; orange rum|rum;flavoured;orange
Stoli&reg; Razberi vodka|vodka;flavoured;raspberry
cloves|spice;clove
Cinzano&reg; dry vermouth|vermouth;dry
Fresca&reg; Black Cherry soda|soda;black cherry
white creme de cacao|liqueur;chocolate
Sunny Delight&reg; California Style orange juice|juice;orange
cream soda|soda;cream
chocolate topping|syrup;chocolate
Noilly Prat&reg; French vermouth|vermouth;dry
Vladivar&reg; vodka|vodka
anisette|liqueur;anise
eggnog|eggnog
Tropicana&reg; Orange Strawberry Banana juice|juice;orange-strawberry-banana
citrus punch|punch;citrus
Coca-Cola&reg;|cola
Chymos&reg; cranberry liqueur|liqueur;canberry
Hiram Walker&reg; triple sec|liqueur;orange;triple sec
maraschino liqueur|liqueur;marasca cherry
Stoli&reg; Blueberi vodka|vodka;flavoured;blueberry
ice cubes|ice;cubes
Hangar One&reg; Mandarin Blossom vodka|vodka;flavoured;mandarin
Bacardi&reg; Vanil rum|rum;flavoured;vanilla
lemon liqueur|liqueur;lemon
Jack Daniel's&reg; Downhome Punch|punch;downhome
Sagatiba Pura|brandy;cashaca
MGD&reg; Lite lager|beer;lager;light
Mountain Dew&reg; Pitch Black soda|soda;grape
Clan Macgregor&reg; Scotch whisky|whiskey;scotch
Metaxa 7 Star|brandy;metaxa
passion-fruit puree|puree;passion-fruit
Henry McKenna&reg; bourbon whiskey|whiskey;bourbon
Absolut&reg; peach vodka|vodka;flavoured;peach
Triple Eight&reg; vodka|vodka
UV&reg; blue raspberry vodka|vodka;flavoured;raspberry
Napolean brandy|brandy
Crabbie's&reg; green ginger wine|wine;ginger
Welch's&reg; grape-peach juice|juice;grape-peach
Skyy&reg; cosmopolitan mix|mix;cosmopolitan
Steven Seagal's Lightning Bolt|energy
creme de coconut|liqueur;cream;rum
apple liqueur|liqueur;apple
Father O'Leary's&reg; velvet cream liqueur|liqueur;cream
Danish cherry wine|wine;cherry
Vincent Van Gogh&reg; Dutch chocolate vodka|vodka;flavoured;chocolate
Schweppes&reg; tonic water|soda;tonic
Merrydown&reg; cider|cider
batida de coco|liqueur;coconut
Gatorade&reg; Lemon-Lime energy drink|energy;lime
mango jell-o|jello;mango
grapes|fruit;grape
Myer's&reg; Legend rum|rum;dark
Sun Drop&reg; citrus soda|soda;citrus
pineapple jell-o|jello;pineapple
Boone's Farm&reg; white wine|wine;white
Agavero&reg; tequila liqueur|tequila;agavero
Three Olives&reg; grape vodka|vodka;flavoured;grape
Lipton&reg; peach iced tea|ice tea;peach
Gold Rush&reg; cinnamon schnapps|schnapps;cinnamon
Milwaukee's&reg; Best Ice lager|beer;lager;ice
DeKuyper&reg; wild strawberry liqueur|liqueur;wild strawberry
Becherovka&reg; herbal liqueur|liqueur;herbal
Pineau des Charentes&reg; white wine|wine;white
raspberries|fruit;raspberry
cream|cream
key lime juice|juice;key lime
Fresca&reg; lemon-lime soda|soda;lemon;lime
mint liqueur|liqueur;mint
almonds|seed;almond
Fee Brothers&reg; Old-fashioned bitters|bitters;piquant
blueberry puree|puree;blueberry
Courvoisier&reg; cognac|cognac
Russian vodka|vodka
raspberry rum|rum;flavoured;raspberry
Old Fitzgerald&reg; bourbon whiskey|whiskey;bourbon
St. Raphael&reg; Aperitif de France wine|wine;white
ruby port|wine;red
Italian brandy|brandy
Carlsberg&reg; Special Brew lager|beer;lager;strong
Hornsby's Draft&reg; cider|cider
Gatorade&reg; Watermelon Ice energy drink|energy;watermelon
Bacardi&reg; Tropico rum|rum;flavoured;tropical fruit
Starbucks&reg; coffee liqueur|liqueur;coffee
Zubrowka&reg; vodka|vodka;flavoured;herbal
Gatorade&reg; Rain Lime|sports drink;lime
Ambassadeur&reg; red vermouth|vermouth;red
Hiram Walker&reg; Blue Curacao liqueur|liqueur;curacao;blue
Rainier&reg; lager|beer;lager
Xyience&reg; Big Apple energy drink|energy;apple
creme de cerise|liqueur;black cherry
greek seasoning|spice;greek seasoning
Crystal Palace&reg; vodka|vodka
rhubarbs|vegetable;rhubarbs
Bols&reg; green creme de menthe|liqueur;menthe
Green Curacao liqueur|liqueur;curacao;green
Bols&reg; kiwi liqueur|liqueur;kiwi
allspice|spice;allspice (pepper)
Lapponia Lakka cloudberry liqueur|liqueur;cloudberry
Tortuga rum cream|liqueur;cream;rum
Bollinger&reg; Champagne|wine;champagne
onion|vegetable;onion
Lapponia cloudberry liqueur|liqueur;cloudberry
steak sauce|sauce;steak
pear cider|cider;pear
cranberry-apple juice|juice;cranberry-apple
blackcurrant vodka|vodka;flavoured;blackcurrant
Monin&reg; coconut syrup|syrup;coconut
Bud Light&reg; lager|beer;lager
Phillips Union&reg; blended whiskey|whiskey;scotch
Kool-Aid&reg; Mango mix|powder;mango
sweet and sour mix|mix;sweet and sour
pomegranate juice|juice;pomegranate
watermelon schnapps|schnapps;watermelon
Fanta&reg; lemon soda|soda;lemon
Stone's&reg; ginger wine|wine;ginger
Danzka&reg; grapefruit vodka|vodka;flavoured;grapefruit
Captain Morgan&reg; Parrot Bay coconut rum|rum;flavoured;coconut
Sobe&reg; Energy drink|energy
Dr. Mcgillicuddy's&reg; peach schnapps|schnapps;peach
dark rum|rum;dark
pineapple|fruit;pineapple
whipping cream|cream;whipping
Kool-Aid&reg; Watermelon-Cherry|powder;watermelon-cherry
tomato|vegetable;tomato
heath candy bar|candy;bar
Alexander Keith's&reg; Red Amber Ale|beer;ale;red
lime-flavored seltzer water|soda;lime
lemon juice|juice;lemon
jalapeno pepper|pepper;jalapeno
Creme de Fraise des Bois|liqueur;cream
Stoli&reg; Persik vodka|vodka;flavoured;peach
superfine sugar|sugar;superfine
Swedish punsch|liqueur;punsch
Kilkenny&reg; beer|beer;ale;red
raspberry ice cream|ice cream;raspberry
mango juice|juice;mango
tomato juice|juice;tomato
sparkling apple juice|juice;apple
Vitamin Water|water;vitamin
olives|fruit;olive
wheatgrass juice|juice;wheatgrass
strawberry margarita mix|mix;strawberry margarita
grain alcohol|grain alcoohol
coconut rum|rum;flavoured;coconut
spearmint|herb;spearmint
strawberry|fruit;strawberry
cherry schnapps|schnapps;cherry
orange jell-o|jello;orange
Archers&reg; peach schnapps|schnapps;peach
Spicy Hot V8 Juice|juice;vegetable
Baja Tango&reg; orange cream liqueur|liqueur;orange;cream
Thunderbird&reg; wine|wine;white
half-and-half|half-and-half
lychee soda|soda;lychee
Dole&reg; orange peach-mango juice|juice;orange-peach-mango
Bailey's&reg; Caramel Irish cream liqueur|liqueur;cream;irish
London dry gin|gin;dry
peanut liqueur|liqueur;peanut
coconut vodka|vodka;flavoured;coconut
cherries|fruit;cherry
honeydew melon|fruit;honeydew
Phillips&reg; raspberry schnapps|schnapps;raspberry
Monin&reg; strawberry syrup|syrup;strawberry
peach liqueur|liqueur;peach
Murphy's&reg; Irish stout|beer;dark
Suntory&reg; mango liqueur|liqueur;mango
French vanilla coffee creamer|cream;vanilla
DeKuyper&reg; cinnamon schnapps|schnapps;cinnamon
